Player_names,Games,Minutes_Per_Game,Win_Shares,PPG,RPG,ASG,SPG,BPG,Titles,MVPs,All_Star
" ""LaMarcus Aldridge""",1024,34.2,112.3,19.4,8.3,2,0.7,1.1,0,0,7
" ""Ray Allen""",1300,35.6,145.1,18.9,4.1,3.4,1.1,0.2,2,0,10
" ""Ryan Anderson""",649,25.8,46.7,12.3,5.3,0.9,0.5,0.3,0,0,0
" ""Carmelo Anthony""",1163,35.3,103.7,23.2,6.4,2.9,1,0.5,0,0,10
" ""Gilbert Arenas""",552,35.1,51.3,20.7,3.9,5.3,1.6,0.2,0,0,3
" ""Trevor Ariza""",1066,29.7,62.5,10.5,4.8,2.2,1.5,0.3,1,0,0
" ""D.J. Augustin""",903,23.9,46.2,9.7,1.9,4,0.6,0,0,0,0
" ""Matt Barnes""",929,23.6,42.8,8.2,4.6,1.8,0.8,0.5,1,0,0
" ""Brandon Bass""",758,21.6,42.8,8.7,4.5,0.8,0.4,0.6,0,0,0
" ""Shane Battier""",977,30.7,75.7,8.6,4.2,1.8,1,0.9,2,0,0
" ""Nicolas Batum""",830,31.2,58,11.4,5.2,3.7,1,0.6,0,0,0
" ""Mike Bibby""",1001,33.9,73.2,14.7,3.1,5.5,1.2,0.1,0,0,0
" ""Chauncey Billups""",1043,31.6,120.8,15.2,2.9,5.4,1,0.2,1,0,5
" ""Andrew Bogut""",706,28.1,50.6,9.6,8.7,2.2,0.6,1.5,1,0,0
" ""Carlos Boozer""",861,31.2,80.3,16.2,9.5,2.2,0.9,0.4,0,0,2
" ""Chris Bosh""",893,35.8,106,19.2,8.5,2,0.8,1,2,0,11
" ""Elton Brand""",1058,33,109.6,15.9,8.5,2.1,0.9,1.7,0,0,2
" ""Kobe Bryant""",1346,36.1,172.7,25,5.2,4.7,1.4,0.5,5,1,18
" ""Caron Butler""",881,32.2,50.9,14.1,5,2.3,1.3,0.2,1,0,2
" ""Jose Calderon""",895,26.4,58.3,8.9,2.4,5.8,0.8,0.1,0,0,0
" ""Marcus Camby""",973,29.5,81.6,9.5,9.8,1.9,1,2.4,0,0,0
" ""Vince Carter""",1541,30.1,125.3,16.7,4.3,3.1,1,0.6,0,0,8
" ""Tyson Chandler""",1160,27.3,102.1,8.2,9,0.8,0.5,1.2,1,0,1
" ""Darren Collison""",708,29.4,49.9,12.5,2.7,5,1.2,0.1,0,0,0
" ""Nick Collison""",910,20.4,44.5,5.9,5.2,1,0.5,0.5,0,0,0
" ""Mike Conley""",869,32.3,77.8,14.9,3,5.6,1.4,0.2,0,0,1
" ""Jamal Crawford""",1327,29.4,60.7,14.6,2.2,3.4,0.9,0.2,0,0,0
" ""Stephen Curry""",738,34.3,108.5,23.8,4.6,6.6,1.7,0.2,3,2,7
" ""Samuel Dalembert""",886,24.4,51.3,7.7,7.8,0.5,0.5,1.7,0,0,0
" ""Erick Dampier""",987,24.3,52.7,7.4,7.1,0.8,0.3,1.4,0,0,0
" ""Antonio Daniels""",872,22.6,47,7.6,1.8,3.4,0.6,0.1,1,0,0
" ""Baron Davis""",835,34.2,63.1,16.1,3.8,7.2,1.8,0.4,0,0,2
" ""DeMar DeRozan""",853,34.1,72.4,20.1,4.4,3.7,1,0.3,0,0,4
" ""Luol Deng""",902,34.3,74,14.8,6.1,2.3,1,0.5,0,0,2
" ""Boris Diaw""",1064,27,51.6,8.6,4.4,3.5,0.6,0.5,1,0,0
" ""Goran Dragic""",845,28,55.4,13.9,3.1,4.8,1,0.2,0,0,1
" ""Jared Dudley""",903,22.3,43,7.3,3.2,1.5,0.8,0.2,1,0,0
" ""Tim Duncan""",1392,34,206.4,19,10.8,3,0.7,2.2,5,2,15
" ""Mike Dunleavy""",986,27.7,58.5,11.2,4.3,2.2,0.7,0.3,0,0,0
" ""Kevin Durant""",868,36.8,144.4,27.1,7.1,4.1,1.1,1.1,2,1,11
" ""Monta Ellis""",833,34.8,41.9,17.8,3.5,4.6,1.7,0.3,0,0,0
" ""Raymond Felton""",971,29.7,40.2,11.2,3,5.2,1.2,0.2,0,0,0
" ""Michael Finley""",1103,34.4,85.2,15.7,4.4,2.9,0.9,0.3,1,0,2
" ""Derek Fisher""",1287,25.4,62.3,8.3,2.1,3,1.1,0.1,5,0,0
" ""Jeff Foster""",764,20.6,47.5,4.9,6.9,0.9,0.7,0.4,0,0,0
" ""Danilo Gallinari""",642,30.5,58.8,16,4.8,2,0.8,0.4,0,0,0
" ""Kevin Garnett""",1462,34.5,191.4,17.8,10,3.7,1.3,1.4,1,1,15
" ""Marc Gasol""",874,32.5,84.4,14.2,7.5,3.4,0.9,1.4,1,0,3
" ""Pau Gasol""",1226,33.4,144.1,17,9.2,3.2,0.5,1.6,2,0,6
" ""Rudy Gay""",980,32.7,57.9,16.9,5.9,2.2,0.7,0.5,0,0,0
" ""Taj Gibson""",816,25,53.2,9.4,6.2,1,0.6,1,0,0,0
" ""Manu Ginobili""",1057,25.4,106.4,13.3,3.5,3.8,1.3,0.3,4,0,2
" ""Drew Gooden""",790,25.5,43.9,11,7.1,1.1,0.7,0.6,0,0,0
" ""Marcin Gortat""",806,25.7,61.3,9.9,7.9,1.1,0.5,1.1,0,0,0
" ""Danny Granger""",586,31.5,48.5,16.8,4.9,1.9,1,0.8,0,0,1
" ""Danny Green""",731,25.6,44.9,8.9,3.5,1.6,1,0.8,3,0,0
" ""Jeff Green""",947,29.4,44.5,12.8,4.4,1.6,0.7,0.5,0,0,0
" ""Blake Griffin""",643,34.7,75.6,21.3,8.7,4.4,0.9,0.5,0,0,6
" ""Richard Hamilton""",921,32.1,62.8,17.1,3.1,3.4,0.8,0.1,1,0,3
" ""James Harden""",870,34.5,141.2,25.2,5.4,6.5,1.6,0.5,0,1,9
" ""Al Harrington""",981,28.6,42.5,13.5,5.6,1.7,0.9,0.3,0,0,0
" ""Devin Harris""",985,24.3,54.9,10.8,2.2,3.9,1,0.2,0,0,1
" ""Udonis Haslem""",858,25.1,50.8,7.6,6.7,0.8,0.5,0.3,3,0,0
" ""Brendan Haywood""",816,22.9,43.8,6.8,6,0.5,0.4,1.4,1,0,0
" ""Nene""",965,26.2,73.3,11.3,6,1.8,1.1,0.7,0,0,0
" ""George Hill""",799,27.7,66.5,11.1,3.1,3.2,0.9,0.3,0,0,0
" ""Grant Hill""",1026,33.9,99.9,16.7,6,4.1,1.2,0.6,0,0,7
" ""Kirk Hinrich""",879,30.7,52.5,10.9,2.9,4.8,1.1,0.3,0,0,0
" ""Jrue Holiday""",745,33.2,46.4,15.9,3.9,6.3,1.5,0.5,0,0,1
" ""Al Horford""",880,32.5,92.8,13.9,8.2,3.3,0.8,1.2,0,0,5
" ""Dwight Howard""",1156,32.9,136.2,16.4,12.1,1.4,0.9,1.9,1,0,8
" ""Juwan Howard""",1208,30.3,59.4,13.4,6.1,2.2,0.7,0.3,2,0,1
" ""Serge Ibaka""",847,28.4,70.4,12.5,7.3,0.8,0.4,2,1,0,0
" ""Andre Iguodala""",1168,32.8,98.3,11.8,5,4.2,1.5,0.5,3,0,1
" ""Zydrunas Ilgauskas""",843,27.2,66.3,13,7.3,1.1,0.5,1.6,0,0,2
" ""Ersan Ilyasova""",809,23.3,48.4,10.3,5.7,1.1,0.7,0.4,0,0,0
" ""Allen Iverson""",914,41.1,99,26.7,3.7,6.2,2.2,0.2,0,1,11
" ""LeBron James""",1306,38.2,242.2,27,7.4,7.4,1.6,0.8,4,4,17
" ""Antawn Jamison""",1083,34.8,87.9,18.5,7.5,1.6,1,0.4,0,0,2
" ""Al Jefferson""",915,28.7,71,15.7,8.4,1.5,0.7,1.2,0,0,0
" ""Richard Jefferson""",1181,29,83,12.6,4,2,0.7,0.3,1,0,0
" ""Amir Johnson""",870,21.1,55.3,7,5.4,1.2,0.6,1,0,0,0
" ""Joe Johnson""",1276,34.7,82.8,16,4,3.9,0.8,0.2,0,0,7
" ""DeAndre Jordan""",916,27.6,91.5,9.4,10.7,1,0.6,1.6,0,0,1
" ""Jason Kidd""",1391,36,138.6,12.6,6.3,8.7,1.9,0.3,1,0,10
" ""Andrei Kirilenko""",797,30,75.4,11.8,5.5,2.7,1.4,1.8,0,0,1
" ""Kyle Korver""",1232,25.3,73.4,9.7,3,1.7,0.7,0.3,0,0,1
" ""Ty Lawson""",551,29.2,42.1,12.7,2.7,6,1.2,0.1,0,0,0
" ""David Lee""",829,29.3,76,13.5,8.8,2.2,0.8,0.4,1,0,2
" ""Rashard Lewis""",1049,32,90.9,14.9,5.2,1.7,1.1,0.5,1,0,2
" ""Brook Lopez""",827,30.4,68.4,16.6,6.3,1.5,0.6,1.8,0,0,1
" ""Robin Lopez""",873,22.3,46.3,8.7,5,0.8,0.2,1.1,0,0,0
" ""Kevin Love""",717,31.9,82,18.2,11.1,2.4,0.7,0.4,1,0,5
" ""Kyle Lowry""",950,31.7,97.3,14.9,4.4,6.2,1.3,0.3,1,0,6
" ""Shawn Marion""",1163,34.5,124.9,15.2,8.7,1.9,1.5,1.1,1,0,4
" ""Kenyon Martin""",757,30.6,48,12.3,6.8,1.9,1.2,1.1,0,0,1
" ""Kevin Martin""",714,30.2,61.3,17.4,3.2,1.9,0.9,0.1,0,0,0
" ""Wesley Matthews""",827,31.4,51.9,12.7,3,2.1,1,0.2,0,0,0
" ""Antonio McDyess""",1015,27.6,69.8,12,7.5,1.3,0.8,1.1,0,0,1
" ""Tracy McGrady""",938,32.7,97.3,19.6,5.6,4.4,1.2,0.9,0,0,7
" ""Andre Miller""",1304,30.9,100.8,12.5,3.7,6.5,1.2,0.2,0,0,0
" ""Brad Miller""",868,28.3,76.5,11.2,7.1,2.8,0.7,0.7,0,0,2
" ""Mike Miller""",1032,26.9,60.7,10.6,4.2,2.6,0.6,0.2,2,0,0
" ""Paul Millsap""",1028,28.9,94,13.8,7.3,2.2,1.3,1,0,0,4
" ""Troy Murphy""",729,27.3,50.3,10.8,7.8,1.5,0.7,0.4,0,0,0
" ""Steve Nash""",1217,31.3,129.7,14.3,3,8.5,0.7,0.1,0,2,8
" ""Jameer Nelson""",878,27.9,48.3,11.3,3,5.1,0.9,0.1,0,0,1
" ""Joakim Noah""",672,27.7,61.9,8.8,9,2.8,0.8,1.3,0,0,2
" ""Dirk Nowitzki""",1522,33.8,206.3,20.7,7.5,2.4,0.8,0.8,1,1,14
" ""Jermaine O'Neal""",1011,27.1,66,13.2,7.2,1.4,0.5,1.8,0,0,6
" ""Shaquille O'Neal""",1207,34.7,181.7,23.7,10.9,2.5,0.6,2.3,4,1,15
" ""Lamar Odom""",961,33.4,77,13.3,8.4,3.7,0.9,0.9,2,0,0
" ""Emeka Okafor""",616,30.9,45.3,12,9.7,0.8,0.7,1.6,0,0,0
" ""Mehmet Okur""",634,29.1,54.7,13.5,7,1.7,0.5,0.7,1,0,1
" ""Zaza Pachulia""",1098,20.3,52.7,6.8,5.8,1.3,0.7,0.3,2,0,0
" ""Tony Parker""",1254,30.5,111.3,15.5,2.7,5.6,0.8,0.1,4,0,6
" ""Chris Paul""",1060,34.7,185.4,18.4,4.5,9.4,2.2,0.1,0,0,11
" ""Paul Pierce""",1343,34.2,150,19.7,5.6,3.5,1.3,0.6,1,0,10
" ""James Posey""",864,26.9,51.6,8.6,4.7,1.6,1.1,0.3,2,0,0
" ""Tayshaun Prince""",1017,31,63.1,11.1,4.3,2.4,0.6,0.5,1,0,0
" ""Zach Randolph""",1116,31,81.1,16.6,9.1,1.8,0.7,0.3,0,0,2
" ""Theo Ratliff""",810,25.3,47.9,7.2,5.7,0.6,0.5,2.4,0,0,1
" ""Michael Redd""",629,32,55.9,19,3.8,2.1,0.9,0.1,0,0,1
" ""JJ Redick""",927,25.7,63.7,12.9,2,2,0.5,0.1,0,0,0
" ""Jason Richardson""",857,34.1,59.1,17.1,5,2.7,1.2,0.4,0,0,0
" ""Rajon Rondo""",900,30.6,60,10,4.7,8.1,1.6,0.1,2,0,4
" ""Derrick Rose""",621,32.2,40.6,18.6,3.4,5.5,0.8,0.3,0,1,3
" ""Luis Scola""",743,25.6,45.7,12,6.7,1.6,0.6,0.3,0,0,0
" ""JR Smith""",977,26.9,46.3,12.4,3.1,2.1,1,0.2,2,0,0
" ""Joe Smith""",1030,26.2,60.3,10.9,6.4,1,0.6,0.8,0,0,0
" ""Josh Smith""",894,32.4,51,14.5,7.4,3.1,1.2,1.9,0,0,0
" ""Jerry Stackhouse""",970,31.2,52.4,16.9,3.2,3.3,0.8,0.5,0,0,2
" ""Peja Stojakovic""",804,33.5,82.6,17,4.7,1.8,0.9,0.1,1,0,3
" ""Amar'e Stoudemire""",846,31,92.5,18.9,7.8,1.2,0.8,1.2,0,0,6
" ""Jeff Teague""",804,27.1,51.4,12.3,2.4,5.6,1.2,0.3,0,0,1
" ""Jason Terry""",1410,29.8,102,13.4,2.3,3.8,1.1,0.2,1,0,0
" ""Kurt Thomas""",1110,24.5,64.2,8.1,6.6,1.1,0.7,0.8,0,0,0
" ""Hedo Turkoglu""",997,26.8,63.3,11.1,4,2.8,0.8,0.3,0,0,0
" ""Anderson Varejao""",627,24,46.4,7.3,7.2,1.2,0.9,0.6,0,0,0
" ""Dwyane Wade""",1054,33.9,120.7,22,4.7,5.4,1.5,0.8,3,0,13
" ""Ben Wallace""",1088,29.5,93.5,5.7,9.6,1.3,1.3,2,1,0,4
" ""Gerald Wallace""",832,29.7,59.7,11.9,5.8,2.1,1.4,0.8,0,0,1
" ""Rasheed Wallace""",1109,32.7,105.1,14.4,6.7,1.8,1,1.3,1,0,4
" ""David West""",1034,28.2,85.9,13.6,6.4,2.2,0.7,0.8,2,0,2
" ""Russell Westbrook""",912,34.6,101.8,23.2,7.2,8.4,1.7,0.3,0,1,9
" ""Deron Williams""",845,34.2,77.3,16.3,3.1,8.1,1,0.2,0,0,3
" ""Lou Williams""",1042,24.7,65,14.4,2.3,3.5,0.9,0.2,0,0,0
" ""Marvin Williams""",1072,28.1,65.1,10.2,5.2,1.3,0.8,0.5,0,0,0
" ""Mo Williams""",818,29.2,40,13.2,2.8,4.9,0.9,0.1,1,0,1
" ""Metta World Peace""",991,31.7,61.1,13.2,4.5,2.7,1.7,0.5,1,0,1
" ""Yao Ming""",486,32.5,65.9,19,9.2,1.6,0.4,1.9,0,0,8
" ""Thaddeus Young""",1003,30.1,64.9,13.1,5.9,1.8,1.5,0.4,0,0,0
" ""Eric Bledsoe""",672,27.9,43.5,14,3.9,4.8,1.4,0.5,0,0,0
" ""DeMarcus Cousins""",590,31.5,44.9,20.8,10.7,3.2,1.4,1.2,0,0,4
" ""Ed Davis""",687,19.7,42.6,6.2,6.6,0.8,0.5,0.8,0,0,0
" ""Derrick Favors""",723,25.1,56.8,11.1,7.3,1.1,0.8,1.2,0,0,0
" ""Paul George""",685,33.5,73.5,20.1,6.4,3.5,1.7,0.4,0,0,7
" ""Gordon Hayward""",679,31,57,15.6,4.5,3.5,1,0.4,0,0,1
" ""Greg Monroe""",632,27.7,49.7,13.2,8.3,2.1,1.1,0.6,0,0,0
" ""John Wall""",601,35.7,44.6,19.1,4.3,9.1,1.7,0.7,0,0,5
" ""Hassan Whiteside""",437,25.9,45.9,13.4,11.4,0.7,0.6,2.4,0,0,0
" ""Jimmy Butler""",610,33.1,80.2,17.2,5.2,3.9,1.6,0.5,0,0,5
" ""Tobias Harris""",656,34,50.4,16.2,6.1,2.1,0.7,0.5,0,0,0
" ""Kyrie Irving""",559,33.9,65.7,22.7,3.8,5.7,1.3,0.4,1,0,7
" ""Enes Kanter""",683,22,48.2,11.6,7.8,0.9,0.4,0.5,0,0,0
" ""Kawhi Leonard""",560,31.2,80.6,19.2,6.4,2.8,1.8,0.7,2,0,5
" ""Isaiah Thomas""",525,28.9,45.3,18.1,2.5,5,0.9,0.1,0,0,2
" ""Klay Thompson""",615,33.1,46.8,19.5,3.5,2.3,0.9,0.5,3,0,5
" ""Tristan Thompson""",655,27.8,45.1,9.4,8.7,1,0.5,0.7,1,0,0
" ""Nikola Vucevic""",640,30.5,52.4,16.7,10.3,2.6,0.9,0.9,0,0,2
" ""Kemba Walker""",686,33.7,55.6,19.8,3.8,5.4,1.3,0.4,0,0,4
" ""Bradley Beal""",583,34.6,45.4,21.7,4.1,4,1.1,0.4,0,0,3
" ""Anthony Davis""",551,34.5,86.3,23.9,10.3,2.3,1.4,2.4,1,0,8
" ""Andre Drummond""",624,30.9,61.3,14.6,13.8,1.3,1.4,1.5,0,0,2
" ""Draymond Green""",613,28.2,46.5,8.8,6.9,5.2,1.4,1,3,0,3
" ""Damian Lillard""",656,36.4,88.5,24.6,4.2,6.6,1,0.3,0,0,6
" ""Khris Middleton""",559,31.6,43.3,16.6,4.8,3.5,1.2,0.2,0,0,2
" ""Steven Adams""",569,26.9,47.8,9.7,7.7,1.2,1.2,0.9,0,0,0
" ""Giannis Antetokounmpo""",568,32.6,71.5,20.7,9.1,4.5,1.2,1.3,0,2,5
" ""Rudy Gobert""",516,29.6,69.8,11.9,11.2,1.4,0.7,2.2,0,0,2
" ""Goran Dragic""",845,28,55.4,13.9,3.1,4.8,1,0.2,0,0,1
"""Nikola Jokic""",423,29.7,58.4,18,9.8,5.8,1.2,0.7,0,0,3
" ""Karl-Anthony Towns""",381,34.3,52.6,22.7,11.7,2.8,0.8,1.5,0,0,2
